dtcode23,dtcode11,stdtname,dtname,dtusename,stcode11,stcode23,st2code,stname
548,730,gj_mahisagar,Mahisagar,mahisagar,24,24,GJ,GUJARAT
549,727,gj_morbi,Morbi,morbi,24,24,GJ,GUJARAT
550,487,gj_narmada,Narmada,narmada,24,24,GJ,GUJARAT
551,490,gj_navsari,Navsari,navsari,24,24,GJ,GUJARAT
552,484,gj_panch_mahals,Panch Mahals,panch_mahals,24,24,GJ,GUJARAT
553,470,gj_patan,Patan,patan,24,24,GJ,GUJARAT
554,478,gj_porbandar,Porbandar,porbandar,24,24,GJ,GUJARAT
555,476,gj_rajkot,Rajkot,rajkot,24,24,GJ,GUJARAT
556,472,gj_sabar_kantha,Sabar Kantha,sabar_kantha,24,24,GJ,GUJARAT
557,492,gj_surat,Surat,surat,24,24,GJ,GUJARAT
558,475,gj_surendranagar,Surendranagar,surendranagar,24,24,GJ,GUJARAT
559,493,gj_tapi,Tapi,tapi,24,24,GJ,GUJARAT
560,489,gj_the_dangs,The Dangs,the_dangs,24,24,GJ,GUJARAT
561,486,gj_vadodara,Vadodara,vadodara,24,24,GJ,GUJARAT
562,491,gj_valsad,Valsad,valsad,24,24,GJ,GUJARAT
563,522,mh_ahmadnagar,Ahmadnagar,ahmadnagar,27,25,MH,MAHARASHTRA
564,501,mh_akola,Akola,akola,27,25,MH,MAHARASHTRA
565,503,mh_amravati,Amravati,amravati,27,25,MH,MAHARASHTRA
566,515,mh_aurangabad,Aurangabad,aurangabad,27,25,MH,MAHARASHTRA
567,506,mh_bhandara,Bhandara,bhandara,27,25,MH,MAHARASHTRA
568,523,mh_bid,Bid,bid,27,25,MH,MAHARASHTRA
569,500,mh_buldana,Buldana,buldana,27,25,MH,MAHARASHTRA
570,509,mh_chandrapur,Chandrapur,chandrapur,27,25,MH,MAHARASHTRA
571,498,mh_dhule,Dhule,dhule,27,25,MH,MAHARASHTRA
572,508,mh_gadchiroli,Gadchiroli,gadchiroli,27,25,MH,MAHARASHTRA
573,507,mh_gondiya,Gondiya,gondiya,27,25,MH,MAHARASHTRA
574,512,mh_hingoli,Hingoli,hingoli,27,25,MH,MAHARASHTRA
575,499,mh_jalgaon,Jalgaon,jalgaon,27,25,MH,MAHARASHTRA
576,514,mh_jalna,Jalna,jalna,27,25,MH,MAHARASHTRA
577,530,mh_kolhapur,Kolhapur,kolhapur,27,25,MH,MAHARASHTRA
578,524,mh_latur,Latur,latur,27,25,MH,MAHARASHTRA
579,519,mh_mumbai,Mumbai,mumbai,27,25,MH,MAHARASHTRA
580,518,mh_mumbai_suburban,Mumbai Suburban,mumbai_suburban,27,25,MH,MAHARASHTRA
581,505,mh_nagpur,Nagpur,nagpur,27,25,MH,MAHARASHTRA
582,511,mh_nanded,Nanded,nanded,27,25,MH,MAHARASHTRA
583,497,mh_nandurbar,Nandurbar,nandurbar,27,25,MH,MAHARASHTRA
584,516,mh_nashik,Nashik,nashik,27,25,MH,MAHARASHTRA
585,525,mh_osmanabad,Osmanabad,osmanabad,27,25,MH,MAHARASHTRA
586,732,mh_palghar,Palghar,palghar,27,25,MH,MAHARASHTRA
587,513,mh_parbhani,Parbhani,parbhani,27,25,MH,MAHARASHTRA
588,521,mh_pune,Pune,pune,27,25,MH,MAHARASHTRA
589,520,mh_raigarh,Raigarh,raigarh,27,25,MH,MAHARASHTRA
590,528,mh_ratnagiri,Ratnagiri,ratnagiri,27,25,MH,MAHARASHTRA
591,531,mh_sangli,Sangli,sangli,27,25,MH,MAHARASHTRA
592,527,mh_satara,Satara,satara,27,25,MH,MAHARASHTRA
593,529,mh_sindhudurg,Sindhudurg,sindhudurg,27,25,MH,MAHARASHTRA
594,526,mh_solapur,Solapur,solapur,27,25,MH,MAHARASHTRA
595,517,mh_thane,Thane,thane,27,25,MH,MAHARASHTRA
596,504,mh_wardha,Wardha,wardha,27,25,MH,MAHARASHTRA
597,502,mh_washim,Washim,washim,27,25,MH,MAHARASHTRA
598,510,mh_yavatmal,Yavatmal,yavatmal,27,25,MH,MAHARASHTRA
599,556,ka_bagalkote,Bagalkote,bagalkote,29,26,KA,KARNATAKA
600,565,ka_ballari,Ballari,ballari,29,26,KA,KARNATAKA
601,572,ka_bangalore,Bangalore,bangalore,29,26,KA,KARNATAKA
602,555,ka_belagavi,Belagavi,belagavi,29,26,KA,KARNATAKA
603,583,ka_bengaluru_rural,Bengaluru Rural,bengaluru_rural,29,26,KA,KARNATAKA
604,558,ka_bidar,Bidar,bidar,29,26,KA,KARNATAKA
605,578,ka_chamarajanagara,Chamarajanagara,chamarajanagara,29,26,KA,KARNATAKA
606,582,ka_chikkaballapura,Chikkaballapura,chikkaballapura,29,26,KA,KARNATAKA
607,570,ka_chikkamagaluru,Chikkamagaluru,chikkamagaluru,29,26,KA,KARNATAKA
608,566,ka_chitradurga,Chitradurga,chitradurga,29,26,KA,KARNATAKA
609,575,ka_dakshina_kannada,Dakshina Kannada,dakshina_kannada,29,26,KA,KARNATAKA
610,567,ka_davanagere,Davanagere,davanagere,29,26,KA,KARNATAKA
611,562,ka_dharwad,Dharwad,dharwad,29,26,KA,KARNATAKA
612,561,ka_gadag,Gadag,gadag,29,26,KA,KARNATAKA
613,574,ka_hassan,Hassan,hassan,29,26,KA,KARNATAKA
614,564,ka_haveri,Haveri,haveri,29,26,KA,KARNATAKA
615,579,ka_kalaburagi,Kalaburagi,kalaburagi,29,26,KA,KARNATAKA
616,576,ka_kodagu,Kodagu,kodagu,29,26,KA,KARNATAKA
617,581,ka_kolar,Kolar,kolar,29,26,KA,KARNATAKA
618,560,ka_koppal,Koppal,koppal,29,26,KA,KARNATAKA
619,573,ka_mandya,Mandya,mandya,29,26,KA,KARNATAKA
620,577,ka_mysuru,Mysuru,mysuru,29,26,KA,KARNATAKA
621,559,ka_raichur,Raichur,raichur,29,26,KA,KARNATAKA
622,584,ka_ramanagara,Ramanagara,ramanagara,29,26,KA,KARNATAKA
623,568,ka_shivamogga,Shivamogga,shivamogga,29,26,KA,KARNATAKA
624,571,ka_tumakuru,Tumakuru,tumakuru,29,26,KA,KARNATAKA
625,569,ka_udupi,Udupi,udupi,29,26,KA,KARNATAKA
626,563,ka_uttara_kannada,Uttara Kannada,uttara_kannada,29,26,KA,KARNATAKA
627,798,ka_vijayanagar,Vijayanagar,vijayanagar,29,26,KA,KARNATAKA
628,557,ka_vijayapura,Vijayapura,vijayapura,29,26,KA,KARNATAKA
629,580,ka_yadgir,Yadgir,yadgir,29,26,KA,KARNATAKA
630,585,ga_north_goa,North Goa,north_goa,30,27,GA,GOA
631,586,ga_south_goa,South Goa,south_goa,30,27,GA,GOA
632,587,ld_lakshadweep,Lakshadweep,lakshadweep,31,28,LD,LAKSHADWEEP
633,598,kl_alappuzha,Alappuzha,alappuzha,32,29,KL,KERALA
634,595,kl_ernakulam,Ernakulam,ernakulam,32,29,KL,KERALA
635,596,kl_idukki,Idukki,idukki,32,29,KL,KERALA
636,589,kl_kannur,Kannur,kannur,32,29,KL,KERALA
637,588,kl_kasaragod,Kasaragod,kasaragod,32,29,KL,KERALA
638,600,kl_kollam,Kollam,kollam,32,29,KL,KERALA
639,597,kl_kottayam,Kottayam,kottayam,32,29,KL,KERALA
640,591,kl_kozhikode,Kozhikode,kozhikode,32,29,KL,KERALA
641,592,kl_malappuram,Malappuram,malappuram,32,29,KL,KERALA
642,593,kl_palakkad,Palakkad,palakkad,32,29,KL,KERALA
643,599,kl_pathanamthitta,Pathanamthitta,pathanamthitta,32,29,KL,KERALA
644,601,kl_thiruvananthapuram,Thiruvananthapuram,thiruvananthapuram,32,29,KL,KERALA
645,594,kl_thrissur,Thrissur,thrissur,32,29,KL,KERALA
646,590,kl_wayanad,Wayanad,wayanad,32,29,KL,KERALA
